loan_id,client_id,month,year,active_status,location,days_in_delay,loan_scenario,loan_term,MFI
2,1,3,2021,True,Location3,61-90,,8,MFI3
2,1,2,2022,True,Location3,91>,,8,MFI3
3,1,4,2021,True,Location1,61-90,,13,MFI4
6,1,3,2021,True,Location3,61-90,,14,MFI4
6,1,6,2022,True,Location2,no delay,,14,MFI4
7,1,2,2020,True,Location4,91>,,8,MFI1
11,1,3,2020,True,Location1,11-30,,13,MFI3
11,1,10,2022,True,Location1,11-30,,11,MFI3
12,1,3,2020,True,Location2,0-10,,20,MFI2
13,1,6,2021,True,Location1,61-90,,12,MFI1
13,1,7,2021,True,Location3,91>,,17,MFI1
14,1,5,2021,True,Location4,61-90,,19,MFI3
14,1,10,2021,True,Location3,0-10,matured,10,MFI3
15,1,1,2021,True,Location2,0-10,,9,MFI1
15,1,7,2021,True,Location1,30-60,,15,MFI1
15,1,12,2021,True,Location1,61-90,,14,MFI1
17,1,9,2021,True,Location2,30-60,,8,MFI1
18,1,8,2020,True,Location4,30-60,,14,MFI1
20,1,8,2020,True,Location4,no delay,,19,MFI2
